,subject,age,age_rounded,gender,question_type,trial_number,trial_type,correct,trial_name
292,MDY4TJ,3.04,3,f,easier,10,complex,0,Probability
293,MDY4TJ,3.04,3,f,easier,11,agent,1,Cooperation
294,MDY4TJ,3.04,3,f,easier,12,agent,0,Child_Adult
295,MDY4TJ,3.04,3,f,easier,13,agent,1,Sling
296,dXTMCW,3.2,3,f,harder,1,simple,0,Number4
297,dXTMCW,3.2,3,f,harder,2,simple,1,Stability1
298,dXTMCW,3.2,3,f,harder,3,simple,0,Number1
299,dXTMCW,3.2,3,f,harder,4,simple,0,Number2
300,dXTMCW,3.2,3,f,harder,5,simple,1,Num_Stab
301,dXTMCW,3.2,3,f,harder,6,simple,0,Number3
302,dXTMCW,3.2,3,f,harder,7,complex,1,Process2
303,dXTMCW,3.2,3,f,harder,8,complex,1,Process3
304,dXTMCW,3.2,3,f,harder,9,complex,0,Process1
305,dXTMCW,3.2,3,f,harder,10,complex,0,Probability
306,dXTMCW,3.2,3,f,harder,11,agent,0,Sling
307,dXTMCW,3.2,3,f,harder,12,agent,1,Child_Adult
308,dXTMCW,3.2,3,f,harder,13,agent,1,Cooperation
309,K65KH4,3.78,3,m,harder,1,simple,1,Number3
310,K65KH4,3.78,3,m,harder,2,simple,1,Number2
311,K65KH4,3.78,3,m,harder,3,simple,1,Number4
312,K65KH4,3.78,3,m,harder,4,simple,0,Number1
313,K65KH4,3.78,3,m,harder,5,simple,0,Stability1
314,K65KH4,3.78,3,m,harder,6,simple,1,Num_Stab
315,K65KH4,3.78,3,m,harder,7,complex,0,Process1
316,K65KH4,3.78,3,m,harder,8,complex,0,Process3
317,K65KH4,3.78,3,m,harder,9,complex,1,Probability
318,K65KH4,3.78,3,m,harder,10,complex,1,Process2
319,K65KH4,3.78,3,m,harder,11,agent,0,Cooperation
320,K65KH4,3.78,3,m,harder,12,agent,1,Sling
321,K65KH4,3.78,3,m,harder,13,agent,1,Child_Adult
322,BNQ33V,3.94,3,m,easier,1,simple,0,Number2
323,BNQ33V,3.94,3,m,easier,2,simple,1,Stability1
324,BNQ33V,3.94,3,m,easier,3,simple,0,Number4
325,BNQ33V,3.94,3,m,easier,4,simple,0,Number1
326,BNQ33V,3.94,3,m,easier,5,simple,0,Num_Stab
327,BNQ33V,3.94,3,m,easier,6,simple,0,Number3
328,BNQ33V,3.94,3,m,easier,7,complex,0,Process2
329,BNQ33V,3.94,3,m,easier,8,complex,0,Process1
330,BNQ33V,3.94,3,m,easier,9,complex,0,Process3
331,BNQ33V,3.94,3,m,easier,10,complex,1,Probability
332,BNQ33V,3.94,3,m,easier,11,agent,0,Child_Adult
333,BNQ33V,3.94,3,m,easier,12,agent,1,Sling
334,BNQ33V,3.94,3,m,easier,13,agent,1,Cooperation
335,KFS6FM,3.12,3,f,harder,1,simple,1,Number2
336,KFS6FM,3.12,3,f,harder,2,simple,1,Number4
337,KFS6FM,3.12,3,f,harder,3,simple,1,Number1
338,KFS6FM,3.12,3,f,harder,4,simple,0,Stability1
339,KFS6FM,3.12,3,f,harder,5,simple,0,Num_Stab
340,KFS6FM,3.12,3,f,harder,6,simple,1,Number3
341,KFS6FM,3.12,3,f,harder,7,complex,1,Process1
342,KFS6FM,3.12,3,f,harder,8,complex,1,Probability
343,KFS6FM,3.12,3,f,harder,9,complex,1,Process3
344,KFS6FM,3.12,3,f,harder,10,complex,1,Process2
345,KFS6FM,3.12,3,f,harder,11,agent,1,Sling
346,KFS6FM,3.12,3,f,harder,12,agent,1,Child_Adult
347,KFS6FM,3.12,3,f,harder,13,agent,0,Cooperation
348,FFK2PK,3.94,3,f,harder,1,simple,1,Number1
